sample,time_s,raw_u16,code12,voltage_V
621,0.310511000,55309,3456,2.785072
622,0.311011000,57966,3622,2.918864
623,0.311511000,45979,2873,2.315262
624,0.312012000,26022,1626,1.310332
625,0.312511000,10386,649,0.522985
626,0.313010000,10258,641,0.516539
627,0.313511000,21205,1325,1.067773
628,0.314010000,40393,2524,2.033980
629,0.314510000,55261,3453,2.782655
630,0.315010000,58126,3632,2.926921
631,0.315510000,45659,2853,2.299148
632,0.316010000,26134,1633,1.315972
633,0.316510000,10898,681,0.548766
634,0.317009000,8690,543,0.437583
635,0.317509000,20933,1308,1.054076
636,0.318009000,40457,2528,2.037203
637,0.318509000,55853,3490,2.812465
638,0.319009000,58110,3631,2.926116
639,0.319509000,45819,2863,2.307205
640,0.320007000,25782,1611,1.298247
641,0.320513000,10738,671,0.540710
642,0.321013000,8786,549,0.442417
643,0.321514000,20885,1305,1.051659
644,0.322014000,41434,2589,2.086400
645,0.322513000,56125,3507,2.826162
646,0.323014000,58110,3631,2.926116
647,0.323514000,45499,2843,2.291092
648,0.324013000,26070,1629,1.312749
649,0.324513000,10866,679,0.547155
650,0.325013000,8658,541,0.435972
651,0.325514000,21045,1315,1.059716
652,0.326013000,40633,2539,2.046066
653,0.326513000,55901,3493,2.814882
654,0.327013000,58062,3628,2.923699
655,0.327512000,44874,2804,2.259620
656,0.328012000,25862,1616,1.302275
657,0.328512000,10866,679,0.547155
658,0.329011000,8866,554,0.446445
659,0.329511000,20901,1306,1.052465
660,0.330011000,41050,2565,2.067063
661,0.330511000,56013,3500,2.820522
662,0.331010000,59662,3728,3.004266
663,0.331510000,45819,2863,2.307205
664,0.332010000,26198,1637,1.319194
665,0.332510000,10882,680,0.547961
666,0.333010000,8658,541,0.435972
667,0.333510000,20693,1293,1.041991
668,0.334010000,40473,2529,2.038009
669,0.334510000,55789,3486,2.809242
670,0.335009000,58254,3640,2.933367
671,0.335509000,45787,2861,2.305594
672,0.336009000,26294,1643,1.324028
673,0.336509000,10946,684,0.551183
674,0.337009000,8770,548,0.441611
675,0.337509000,20677,1292,1.041186
676,0.338008000,40505,2531,2.039620
677,0.338508000,55917,3494,2.815688
678,0.339014000,58030,3626,2.922088
679,0.339514000,45611,2850,2.296732
680,0.340013000,26102,1631,1.314360
681,0.340512000,10834,677,0.545544
682,0.341013000,8802,550,0.443223
683,0.341512000,21045,1315,1.059716
684,0.342011000,40569,2535,2.042843
685,0.342511000,55869,3491,2.813270
686,0.343011000,58158,3634,2.928533
687,0.343510000,44858,2803,2.258814
688,0.344011000,26246,1640,1.321611
689,0.344511000,10514,657,0.529430
690,0.345011000,9058,566,0.456114
691,0.345510000,21013,1313,1.058105
692,0.346010000,40361,2522,2.032369
693,0.346509000,55869,3491,2.813270
694,0.347009000,58174,3635,2.929338
695,0.347509000,45883,2867,2.310428
696,0.348008000,26406,1650,1.329668
697,0.348514000,10914,682,0.549572
698,0.349013000,8674,542,0.436777
699,0.349513000,21029,1314,1.058910
700,0.350012000,40649,2540,2.046871
701,0.350513000,55901,3493,2.814882
702,0.351012000,58062,3628,2.923699
703,0.351511000,45867,2866,2.309622
704,0.352011000,26166,1635,1.317583
705,0.352511000,10802,675,0.543932
706,0.353010000,7745,484,0.389998
707,0.353510000,21029,1314,1.058910
708,0.354010000,40425,2526,2.035592
709,0.354509000,55869,3491,2.813270
710,0.355009000,57918,3619,2.916448
711,0.355508000,45787,2861,2.305594
712,0.356014000,25990,1624,1.308720
713,0.356514000,10626,664,0.535070
714,0.357013000,8658,541,0.435972
715,0.357513000,21013,1313,1.058105
716,0.358014000,40697,2543,2.049288
717,0.358513000,54685,3417,2.753651
718,0.359013000,59166,3697,2.979290
719,0.359513000,45755,2859,2.303983
720,0.360012000,26182,1636,1.318389
721,0.360512000,10898,681,0.548766
